overprotective,/ˌəʊ.və.prəˈtek.tɪv/,Quá bảo bọc,adjective,Overprotective parents should seek help to relax. (Cha mẹ quá bảo bọc nên tìm hỗ trợ để thư giãn.),Giao tiếp: Gia đình
strict,/strɪkt/,Nghiêm khắc,adjective,My mother was very strict. (Mẹ tôi rất nghiêm khắc.),Giao tiếp: Gia đình
grounded,/ˈɡraʊn.dɪd/,Cấm túc,adjective,Strict teachers are more popular than lenient ones. (Giáo viên nghiêm khắc được ưa chuộng hơn giáo viên dễ tính.),Giao tiếp: Gia đình
foster family,/ˈfɒs.tər ˈfæm.əl.i/,Gia đình nuôi dưỡng,noun,Foster families can change a child's life. (Gia đình nuôi dưỡng có thể thay đổi cuộc sống một đứa trẻ.),Giao tiếp: Gia đình
amusement park,/əˈmjuːz.mənt pɑːk/,= funfair : công viên giải trí,noun,You can always buy pink cotton candy in an amusement park. (Bạn luôn có thể mua kẹo bông gòn trong công viên giải trí.),Giao tiếp: Thời gian rảnh & Sở thích
slot machine,/ˈslɒt məˌʃiːn/,Máy đánh bạc,noun,The only way to win on slot machines is not to play them. (Cách duy nhất để thắng là không chơi.),Giao tiếp: Thời gian rảnh & Sở thích
roller coaster,/ˈrəʊ.lə ˌkəʊ.stər/,Tàu lượn siêu tốc,noun,Roller coasters make me sick to my stomach. (Tàu lượn làm tôi buồn nôn.),Giao tiếp: Thời gian rảnh & Sở thích
to take up,/teɪk ʌp/,Bắt đầu (1 thói quen),verb,He took up golf when he retired. (Ông ấy bắt đầu chơi golf khi nghỉ hưu.),Giao tiếp: Thời gian rảnh & Sở thích
diy,/ˌdiː.aɪˈwaɪ/,Tự làm,noun,"I’m good at DIY, but I had to call a plumber. (Tôi khá giỏi tự làm nhưng phải gọi thợ nước.)",Giao tiếp: Thời gian rảnh & Sở thích
pottery,/ˈpɒt.ər.i/,Làm gốm,noun,Making pottery is such a creative activity. (Làm gốm thật sáng tạo.),Giao tiếp: Thời gian rảnh & Sở thích
knitting,/ˈnɪt.ɪŋ/,Đan len,noun,Knitting helps you relax. (Đan len giúp bạn thư giãn.),Giao tiếp: Thời gian rảnh & Sở thích
to mow the lawn,/məʊ ðə lɔːn/,Cắt cỏ,verb,My neighbours always mow the lawn on Sundays. (Họ luôn cắt cỏ Chủ nhật.),Giao tiếp: Thời gian rảnh & Sở thích
hedge,/hedʒ/,Bụi cây,noun,Trimming the hedge is hard work. (Tỉa bụi cây rất vất vả.),Giao tiếp: Thời gian rảnh & Sở thích
sitcom,/ˈsɪt.kɒm/,= situation comedy : hài kịch tình huống,noun,'Friends' is the most popular sitcom ever. (‘Friends’ là sitcom nổi tiếng nhất.),Giao tiếp: Thời gian rảnh & Sở thích
review,/rɪˈvjuː/,Đánh giá,noun,Writing reviews is a fun job. (Viết đánh giá là công việc thú vị.),Giao tiếp: Thời gian rảnh & Sở thích
cinemagoer,/ˈsɪn.ə.məˌɡəʊ.ər/,= moviegoer : người mê phim,noun,My uncle is a devoted cinemagoer. (Chú tôi mê điện ảnh.),Giao tiếp: Thời gian rảnh & Sở thích
city dweller,/ˈsɪt.i ˌdwel.ər/,Dân thành thị,noun,City dwellers should spend more time outdoors. (Dân thành thị nên ra ngoài nhiều hơn.),Giao tiếp: Thời gian rảnh & Sở thích
hiking,/ˈhaɪ.kɪŋ/,Đi bộ đường dài,noun,I sprained my ankle while hiking. (Tôi bong gân lúc đi leo núi.),Giao tiếp: Thời gian rảnh & Sở thích
scenery,/ˈsiː.nər.i/,= landscape : phong cảnh,noun,The scenery was breathtaking. (Phong cảnh đẹp đến nghẹt thở.),Giao tiếp: Thời gian rảnh & Sở thích
atmosphere,/ˈæt.məs.fɪər/,= ambiance : bầu không khí,noun,I love the familiar atmosphere of our local pub. (Tôi thích bầu không khí quen thuộc của quán.),Giao tiếp: Thời gian rảnh & Sở thích
a total,/ə ˈtəʊ.təl/,Tổng số,noun,A total of 500 people attended the event. (Tổng cộng 500 người tham dự.),Viết học thuật: Biểu đồ cột
an overall figure,/ˈəʊ.və.rɔːl ˈfɪɡ.ə/,Tổng số chung,noun,The overall figure rose significantly. (Tổng số chung tăng đáng kể.),Viết học thuật: Biểu đồ cột
amount to,/əˈmaʊnt tuː/,Tổng cộng; lên tới,verb,"Expenses amounted to $2,000. (Chi phí lên tới 2,000 đô.)",Viết học thuật: Biểu đồ cột
total,/ˈtəʊ.təl/,Tổng cộng,verb,"The costs total nearly $5,000. (Chi phí tổng cộng gần 5,000 đô.)",Viết học thuật: Biểu đồ cột
a figure,/ˈfɪɡ.ər/,Một con số,noun,This figure shows rapid growth. (Con số này cho thấy tăng trưởng nhanh.),Viết học thuật: Biểu đồ cột
a number,/ˈnʌm.bər/,Một con số,noun,A large number of students joined. (Nhiều sinh viên tham gia.),Viết học thuật: Biểu đồ cột
stand at,/stænd æt/,Đạt mức,verb,Unemployment stood at 5%. (Tỷ lệ thất nghiệp đạt mức 5%.),Viết học thuật: Biểu đồ cột
reach,/riːtʃ/,Đạt tới,verb,Sales reached a new high. (Doanh số đạt mức cao mới.),Viết học thuật: Biểu đồ cột
a percentage,/pəˈsen.tɪdʒ/,Tỉ lệ phần trăm,noun,A large percentage of people agreed. (Một tỉ lệ lớn người đồng ý.),Viết học thuật: Biểu đồ cột
a proportion,/prəˈpɔː.ʃən/,Tỉ lệ,noun,A high proportion of students passed. (Tỉ lệ lớn sinh viên đỗ.),Viết học thuật: Biểu đồ cột
comprise,/kəmˈpraɪz/,Chiếm ; bao gồm,verb,Women comprise 60% of the workforce. (Phụ nữ chiếm 60% lực lượng lao động.),Viết học thuật: Biểu đồ cột
make up,/meɪk ʌp/,Chiếm,verb,Rent makes up half of my expenses. (Tiền thuê chiếm một nửa chi phí.),Viết học thuật: Biểu đồ cột
account for,/əˈkaʊnt fɔːr/,Chiếm,verb,Imports account for 30% of GDP. (Nhập khẩu chiếm 30% GDP.),Viết học thuật: Biểu đồ cột
an increase,/ɪnˈkriːs/,Sự tăng,noun,There was an increase in population. (Có sự gia tăng dân số.),Viết học thuật: Biểu đồ cột
a rise,/raɪz/,Sự tăng,noun,A rise in prices occurred last year. (Có sự tăng giá năm trước.),Viết học thuật: Biểu đồ cột
increase,/ɪnˈkriːs/,Tăng,verb,Sales increased sharply. (Doanh số tăng mạnh.),Viết học thuật: Biểu đồ cột
rise,/raɪz/,Tăng,verb,Prices rose quickly. (Giá tăng nhanh.),Viết học thuật: Biểu đồ cột
go up,/ɡəʊ ʌp/,Tăng lên,verb,The temperature went up. (Nhiệt độ tăng lên.),Viết học thuật: Biểu đồ cột
a decrease,/ˈdiː.kriːs/,Sự giảm,noun,A decrease in revenue was recorded. (Ghi nhận sự giảm doanh thu.),Viết học thuật: Biểu đồ cột
a decline,/dɪˈklaɪn/,Sự giảm,noun,A decline in sales was reported. (Báo cáo cho thấy doanh số giảm.),Viết học thuật: Biểu đồ cột
decrease,/dɪˈkriːs/,Giảm,verb,Profits decreased gradually. (Lợi nhuận giảm dần.),Viết học thuật: Biểu đồ cột
decline,/dɪˈklaɪn/,Giảm; suy giảm,verb,The population declined slowly. (Dân số giảm từ từ.),Viết học thuật: Biểu đồ cột
fall,/fɔːl/,Giảm,verb,Earnings fell sharply. (Thu nhập giảm mạnh.),Viết học thuật: Biểu đồ cột
stability,/stəˈbɪl.ɪ.ti/,Sự ổn định,noun,The data shows stability. (Dữ liệu cho thấy sự ổn định.),Viết học thuật: Biểu đồ cột
remain unchanged,/rɪˈmeɪn ʌnˈtʃeɪndʒd/,Giữ nguyên,verb,The figure remained unchanged. (Con số giữ nguyên.),Viết học thuật: Biểu đồ cột
maintain,/meɪnˈteɪn/,Duy trì,verb,They maintained the same level. (Họ duy trì mức như cũ.),Viết học thuật: Biểu đồ cột
a peak,/piːk/,Đỉnh điểm cao nhất,noun,Sales reached a peak in July. (Doanh số đạt đỉnh vào tháng 7.),Viết học thuật: Biểu đồ cột
a trough,/trɒf/,Đáy; mức thấp nhất,noun,Demand hit a trough in winter. (Nhu cầu chạm đáy vào mùa đông.),Viết học thuật: Biểu đồ cột
peak at,/piːk æt/,Đạt đỉnh tại,verb,Numbers peaked at 90%. (Con số đạt đỉnh 90%.),Viết học thuật: Biểu đồ cột
hit a low,/hɪt ə ləʊ/,Chạm mức thấp nhất,verb,Unemployment hit a low last year. (Tỷ lệ thất nghiệp chạm mức thấp nhất năm ngoái.),Viết học thuật: Biểu đồ cột
hit a high,/hɪt ə haɪ/,Chạm mức cao nhất,verb,Profits hit a high in Q4. (Lợi nhuận đạt mức cao nhất quý 4.),Viết học thuật: Biểu đồ cột
an average,/ˈæv.ər.ɪdʒ/,Mức trung bình,noun,The average was 30 units. (Mức trung bình là 30 đơn vị.),Viết học thuật: Biểu đồ cột
a mean,/miːn/,Giá trị trung bình,noun,The mean value increased. (Giá trị trung bình tăng lên.),Viết học thuật: Biểu đồ cột
average,/ˈæv.ər.ɪdʒ/,Trung bình,adjective,An average score of 75%. (Điểm trung bình 75%.),Viết học thuật: Biểu đồ cột
mean,/miːn/,Trung bình,adjective,The mean price rose. (Giá trung bình tăng.),Viết học thuật: Biểu đồ cột
growth,/ɡrəʊθ/,Sự tăng trưởng,noun,There is strong economic growth. (Có sự tăng trưởng kinh tế mạnh.),Viết học thuật: Biểu đồ cột
climb,/klaɪm/,Leo; tăng dần,verb,Prices climbed gradually. (Giá tăng dần.),Viết học thuật: Biểu đồ cột
upward trend,/ˈʌp.wəd trend/,Xu hướng tăng,noun,An upward trend is visible. (Thấy rõ xu hướng tăng.),Viết học thuật: Biểu đồ cột
improvement,/ɪmˈpruːv.mənt/,Sự cải thiện,noun,There was an improvement in performance. (Hiệu suất được cải thiện.),Viết học thuật: Biểu đồ cột
jump,/dʒʌmp/,Tăng vọt,verb,Costs jumped suddenly. (Chi phí tăng vọt.),Viết học thuật: Biểu đồ cột
leap,/liːp/,Nhảy vọt,verb,The rate leapt to 80%. (Tỷ lệ nhảy vọt lên 80%.),Viết học thuật: Biểu đồ cột
drop,/drɒp/,Rơi; giảm,verb,Sales dropped last month. (Doanh số giảm tháng trước.),Viết học thuật: Biểu đồ cột
reduction,/rɪˈdʌk.ʃən/,Sự giảm bớt,noun,A reduction in errors was achieved. (Đã giảm được số lỗi.),Viết học thuật: Biểu đồ cột
downfall,/ˈdaʊn.fɔːl/,Sự sụp đổ,noun,The scandal led to his downfall. (Vụ bê bối dẫn tới sự sụp đổ của ông ấy.),Viết học thuật: Biểu đồ cột
collapse,/kəˈlæps/,Sụp đổ,verb,The structure collapsed unexpectedly. (Cấu trúc bất ngờ sụp đổ.),Viết học thuật: Biểu đồ cột
dip,/dɪp/,Sụt giảm nhẹ,verb,Prices dipped slightly. (Giá giảm nhẹ.),Viết học thuật: Biểu đồ cột
steadiness,/ˈsted.i.nəs/,Sự ổn định,noun,The market showed steadiness. (Thị trường thể hiện sự ổn định.),Viết học thuật: Biểu đồ cột
plateau,/ˈplæt.əʊ/,Trạng thái giữ nguyên;nền ổn định,noun,Growth reached a plateau. (Tăng trưởng đạt trạng thái ổn định.),Viết học thuật: Biểu đồ cột
static,/ˈstæt.ɪk/,Tĩnh; không thay đổi,adjective,The numbers remained static. (Các con số giữ nguyên.),Viết học thuật: Biểu đồ cột
fluctuation,/ˌflʌk.tʃuˈeɪ.ʃən/,Sự biến động,noun,There were fluctuations in demand. (Có biến động trong nhu cầu.),Viết học thuật: Biểu đồ cột
variation,/ˌveə.riˈeɪ.ʃən/,Sự thay đổi,noun,Temperature variation was significant. (Sự thay đổi nhiệt độ đáng kể.),Viết học thuật: Biểu đồ cột
peak,/piːk/,Đỉnh cao,noun,The peak occurred in March. (Đỉnh điểm xảy ra vào tháng 3.),Viết học thuật: Biểu đồ cột
highest point,/ˈhaɪ.əst pɔɪnt/,Điểm cao nhất,noun,This was the highest point recorded. (Đây là điểm cao nhất được ghi nhận.),Viết học thuật: Biểu đồ cột
lowest point,/ˈləʊ.ɪst pɔɪnt/,Điểm thấp nhất,noun,Sales hit their lowest point in Q1. (Doanh số chạm mức thấp nhất ở quý 1.),Viết học thuật: Biểu đồ cột
to give something a boost,/buːst/,Tăng cường,verb,It takes more than an apple a day to boost your immune system. (Cần nhiều hơn một quả táo mỗi ngày để tăng cường hệ miễn dịch.),Giao tiếp: Sức khỏe
vulnerable,/ˈvʌl.nər.ə.bəl/,Dễ tổn thương,adjective,Adolescents are a typically vulnerable group regarding drug abuse. (Thanh thiếu niên là nhóm dễ tổn thương trước lạm dụng ma túy.),Giao tiếp: Sức khỏe
to be prone to,/prəʊn tuː/,Dễ mắc; dễ nhiễm bệnh,verb,Overweight people are more prone to diabetes. (Người thừa cân dễ mắc tiểu đường hơn.),Giao tiếp: Sức khỏe
sedentary lifestyle,/ˈsed.ən.tər.i ˈlaɪf.staɪl/,Lối sống ít vận động,noun,People with a sedentary lifestyle are called couch potatoes. (Những người sống ít vận động được gọi là couch potatoes.),Giao tiếp: Sức khỏe
cut down on,/kʌt daʊn ɒn/,Giảm bớt,verb,You’ll have to cut down on fatty food. (Bạn phải giảm bớt thức ăn nhiều chất béo.),Giao tiếp: Sức khỏe
nhs,/ˌen.eɪtʃˈes/,Dịch vụ y tế quốc gia (Anh),noun,The NHS should provide more information on smoking dangers. (NHS nên cung cấp thêm thông tin về tác hại của hút thuốc.),Giao tiếp: Sức khỏe
nervous breakdown,/ˌnɜː.vəs ˈbreɪk.daʊn/,Suy nhược thần kinh,noun,"If you don’t de-stress, you may have a nervous breakdown. (Nếu không giảm căng thẳng, bạn có thể suy sụp tinh thần.)",Giao tiếp: Sức khỏe
alternative medicine,/ɒlˈtɜː.nə.tɪv ˈmed.ɪ.sən/,Y học thay thế,noun,Acupuncture is a common form of alternative medicine. (Châm cứu là một dạng y học thay thế phổ biến.),Giao tiếp: Sức khỏe
plastic surgery,/ˌplæs.tɪk ˈsɜː.dʒər.i/,Phẫu thuật thẩm mỹ,noun,I’m against plastic surgery. (Tôi phản đối phẫu thuật thẩm mỹ.),Giao tiếp: Sức khỏe
sick leave,/ˈsɪk ˌliːv/,Nghỉ ốm,noun,My manager wasn’t happy when I went on sick leave. (Cấp trên không vui khi tôi phải nghỉ ốm.),Giao tiếp: Sức khỏe
common cold,/ˌkɒm.ən ˈkəʊld/,Cảm lạnh,noun,Adults catch the common cold 2–3 times a year. (Người lớn bị cảm lạnh 2–3 lần mỗi năm.),Giao tiếp: Sức khỏe
flu,/fluː/,= influenza : bệnh cúm,noun,You shouldn’t go to work with the flu—it’s contagious. (Không nên đi làm khi bị cúm vì dễ lây.),Giao tiếp: Sức khỏe
pneumonia,/njuːˈməʊ.ni.ə/,Viêm phổi,noun,I spent two weeks in the hospital with pneumonia. (Tôi nằm viện hai tuần khi bị viêm phổi.),Giao tiếp: Sức khỏe
cancer,/ˈkæn.sər/,Ung thư,noun,Smoking might cause lung cancer. (Hút thuốc có thể gây ung thư phổi.),Giao tiếp: Sức khỏe
childhood diseases,/ˈtʃaɪld.hʊd dɪˈziː.zɪz/,Bệnh ở trẻ,noun,Every child should be vaccinated against childhood diseases. (Trẻ em cần được tiêm phòng các bệnh trẻ em.),Giao tiếp: Sức khỏe
tabloid,/ˈtæb.lɔɪd/,Báo lá cải,noun,"They say every time you read a tabloid, a book dies. (Họ nói mỗi khi bạn đọc báo lá cải, một quyển sách chết.)",Giao tiếp: Truyền thông
libel,/ˈlaɪ.bəl/,Tin thất thiệt; vu khống,noun,Editors should ensure material they publish doesn’t contain libel. (Biên tập viên phải đảm bảo tài liệu xuất bản không có vu khống.),Giao tiếp: Truyền thông
broadsheet,/ˈbrɔːd.ʃiːt/,Báo chính thống,noun,"I used to read broadsheets, but now I get news from TV or the Internet. (Tôi từng đọc báo chính thống, giờ chỉ xem TV hoặc Internet.)",Giao tiếp: Truyền thông
censorship,/ˈsen.sə.ʃɪp/,Kiểm duyệt,noun,"In my opinion, there shouldn’t be censorship. (Theo tôi, không nên có kiểm duyệt.)",Giao tiếp: Truyền thông
broadcast,/ˈbrɔːd.kɑːst/,Phát sóng,verb,Films should be broadcast in their original language. (Phim nên được phát sóng bằng ngôn ngữ gốc.),Giao tiếp: Truyền thông
forecast,/ˈfɔː.kɑːst/,Dự báo,noun,The economic forecast for next year anticipates growth. (Dự báo kinh tế năm tới cho thấy sẽ tăng trưởng.),Giao tiếp: Truyền thông
coverage,/ˈkʌv.ər.ɪdʒ/,Phủ sóng; đưa tin,noun,The coverage of the last Olympic Games was fantastic. (Mức độ đưa tin Thế vận hội vừa rồi rất tuyệt vời.),Giao tiếp: Truyền thông
be on (the) air,/biː ɒn ðə eər/,Truyền hình trực tiếp,phrase,The suspect admitted to the murder on air. (Nghi phạm thú nhận tội trên sóng truyền hình.),Giao tiếp: Truyền thông
remote control,/rɪˌməʊt kənˈtrəʊl/,= clicker : điều khiển TV,noun,My sons always fight over the remote control. (Các con trai tôi luôn giành nhau điều khiển TV.),Giao tiếp: Truyền thông
prime time,/ˈpraɪm taɪm/,Khung giờ vàng,noun,Parental Guidance is advised after prime time. (Nên có hướng dẫn của phụ huynh sau giờ vàng.),Giao tiếp: Truyền thông
lowest point / /ˈləʊ.ɪst pɔɪnword,,pronunciation,meaning,partOfSpeech,Viết học thuật: Biểu đồ đường
rising,/ˈraɪ.zɪŋ/,Đang tăng,adjective,Rising prices worry consumers. (Giá cả tăng khiến người tiêu dùng lo lắng.),Viết học thuật: Biểu đồ đường
increasing,/ɪnˈkriː.sɪŋ/,Đang tăng,adjective,There is an increasing demand for housing. (Nhu cầu nhà ở đang tăng.),Viết học thuật: Biểu đồ đường
climbing,/ˈklaɪ.mɪŋ/,Đang tăng,adjective,Climbing costs affect businesses. (Chi phí tăng ảnh hưởng doanh nghiệp.),Viết học thuật: Biểu đồ đường
growing,/ˈɡroʊ.ɪŋ/,Đang tăng trưởng,adjective,A growing number of people prefer online shopping. (Ngày càng nhiều người thích mua sắm online.),Viết học thuật: Biểu đồ đường
steadily,/ˈsted.əl.i/,Ổn định; đều đặn,adverb,The price rose steadily. (Giá tăng đều đặn.),Viết học thuật: Biểu đồ đường
gradually,/ˈɡrædʒ.u.ə.li/,Dần dần,adverb,The population grew gradually. (Dân số tăng dần.),Viết học thuật: Biểu đồ đường
sharply,/ˈʃɑːp.li/,Nhanh chóng; mạnh,adverb,Inflation rose sharply. (Lạm phát tăng mạnh.),Viết học thuật: Biểu đồ đường
rapidly,/ˈræp.ɪd.li/,Nhanh chóng,adverb,Technology is developing rapidly. (Công nghệ phát triển nhanh chóng.),Viết học thuật: Biểu đồ đường
decreasing,/dɪˈkriː.sɪŋ/,Đang giảm,adjective,A decreasing number of students applied. (Số lượng sinh viên nộp đơn đang giảm.),Viết học thuật: Biểu đồ đường
dropping,/ˈdrɒp.ɪŋ/,Đang giảm,adjective,Dropping prices attracted buyers. (Giá giảm thu hút người mua.),Viết học thuật: Biểu đồ đường
falling,/ˈfɔː.lɪŋ/,Đang giảm,adjective,Falling profits caused concern. (Lợi nhuận giảm khiến lo ngại.),Viết học thuật: Biểu đồ đường
declining,/dɪˈklaɪ.nɪŋ/,Đang suy giảm,adjective,Declining sales indicate trouble. (Doanh số suy giảm báo hiệu khó khăn.),Viết học thuật: Biểu đồ đường
steeply,/ˈstiːp.li/,Nhanh chóng; dốc,adverb,Costs increased steeply. (Chi phí tăng nhanh.),Viết học thuật: Biểu đồ đường
slightly,/ˈslaɪt.li/,Nhẹ; hơi,adverb,Revenue dropped slightly. (Doanh thu giảm nhẹ.),Viết học thuật: Biểu đồ đường
dramatically,/drəˈmæt.ɪ.kəl.i/,Đáng kể,adverb,The numbers changed dramatically. (Các con số thay đổi đáng kể.),Viết học thuật: Biểu đồ đường
significantly,/sɪɡˈnɪf.ɪ.kənt.li/,Đáng kể; quan trọng,adverb,The rate fell significantly. (Tỷ lệ giảm đáng kể.),Viết học thuật: Biểu đồ đường
t/ / Điểm thấp nhất,,noun,Sales hit their lowest point in Q1. (Doanh số chạm mức thấp nhất ở quý 1.),-,Viết học thuật: Biểu đồ đường
build,/bɪld/,= construct ; erect : xây dựng,verb,They plan to build a new residential area. (Họ dự định xây dựng một khu dân cư mới.),Viết học thuật: Bản đồ
construct,/kənˈstrʌkt/,= build : xây dựng,verb,A new bridge was constructed last year. (Một cây cầu mới đã được xây dựng năm ngoái.),Viết học thuật: Bản đồ
erect,/ɪˈrekt/,Dựng lên,verb,They erected a monument in the city square. (Họ dựng một tượng đài tại quảng trường thành phố.),Viết học thuật: Bản đồ
demolish,/dɪˈmɒl.ɪʃ/,Phá hủy,verb,The old stadium was demolished. (Sân vận động cũ đã bị phá hủy.),Viết học thuật: Bản đồ
destroy,/dɪˈstrɔɪ/,Phá hủy,verb,The building was destroyed by fire. (Tòa nhà bị phá hủy bởi hỏa hoạn.),Viết học thuật: Bản đồ
flatten,/ˈflæt.ən/,San phẳng,verb,The land was flattened before construction started. (Khu đất được san phẳng trước khi bắt đầu xây dựng.),Viết học thuật: Bản đồ
north,/nɔːθ/,Phía Bắc,noun,The village is located in the north. (Ngôi làng nằm ở phía Bắc.),Viết học thuật: Bản đồ
northern,/ˈnɔː.ðən/,Thuộc phía Bắc,adjective,Northern regions are colder. (Các vùng phía Bắc lạnh hơn.),Viết học thuật: Bản đồ
south,/saʊθ/,Phía Nam,noun,The hotel is in the south of the city. (Khách sạn nằm ở phía Nam thành phố.),Viết học thuật: Bản đồ
southern,/ˈsʌð.ən/,Thuộc phía Nam,adjective,Southern cities are very lively. (Các thành phố phía Nam rất sôi động.),Viết học thuật: Bản đồ
east,/iːst/,Phía Đông,noun,The sun rises in the east. (Mặt trời mọc ở phía Đông.),Viết học thuật: Bản đồ
eastern,/ˈiː.stən/,Thuộc phía Đông,adjective,Eastern provinces have long beaches. (Các tỉnh phía Đông có bãi biển dài.),Viết học thuật: Bản đồ
west,/west/,Phía Tây,noun,The mountains lie to the west. (Dãy núi nằm về phía Tây.),Viết học thuật: Bản đồ
western,/ˈwes.tən/,Thuộc phía Tây,adjective,Western areas are usually drier. (Các vùng phía Tây thường khô hơn.),Viết học thuật: Bản đồ
northeast,/ˌnɔːθˈiːst/,Phía Đông Bắc,noun,The town is in the northeast. (Thị trấn nằm ở Đông Bắc.),Viết học thuật: Bản đồ
northeastern,/ˌnɔːθˈiːs.tən/,Thuộc Đông Bắc,adjective,Northeastern winds are strong. (Gió Đông Bắc rất mạnh.),Viết học thuật: Bản đồ
southeast,/ˌsaʊθˈiːst/,Phía Đông Nam,noun,The airport is in the southeast. (Sân bay nằm ở phía Đông Nam.),Viết học thuật: Bản đồ
southeastern,/ˌsaʊθˈiːs.tən/,Thuộc Đông Nam,adjective,Southeastern areas develop rapidly. (Các khu vực Đông Nam phát triển nhanh.),Viết học thuật: Bản đồ
northwest,/ˌnɔːθˈwest/,Phía Tây Bắc,noun,The village is northwest of the capital. (Ngôi làng nằm ở Tây Bắc thủ đô.),Viết học thuật: Bản đồ
northwestern,/ˌnɔːθˈwes.tən/,Thuộc Tây Bắc,adjective,Northwestern landscapes are mountainous. (Cảnh quan Tây Bắc nhiều núi.),Viết học thuật: Bản đồ
southwest,/ˌsaʊθˈwest/,Phía Tây Nam,noun,The port is in the southwest. (Cảng nằm ở Tây Nam.),Viết học thuật: Bản đồ
southwestern,/ˌsaʊθˈwes.tən/,Thuộc Tây Nam,adjective,Southwestern deserts are vast. (Sa mạc Tây Nam rất rộng lớn.),Viết học thuật: Bản đồ
perpendicular to,/ˌpɜː.pənˈdɪk.jə.lər tuː/,Vuông góc với,prep,The street is perpendicular to the river. (Con đường vuông góc với con sông.),Viết học thuật: Bản đồ
clockwise,/ˈklɒk.waɪz/,Theo chiều kim đồng hồ,adverb,Move clockwise from the city center. (Di chuyển theo chiều kim đồng hồ từ trung tâm.),Viết học thuật: Bản đồ
along,/əˈlɒŋ/,Dọc theo,prep,Along the riverbank... (Dọc theo bờ sông...),Viết học thuật: Bản đồ
across,/əˈkrɒs/,Băng qua,prep,Across the new development area... (Băng qua khu phát triển mới.),Viết học thuật: Bản đồ
adjacent to,/əˈdʒeɪ.sənt tuː/,Liền kề; sát cạnh,prep,Adjacent to the school... (Liền kề trường học.),Viết học thuật: Bản đồ
extend,/ɪkˈstend/,Mở rộng; kéo dài,verb,The road was extended. (Con đường được mở rộng.),Viết học thuật: Bản đồ
expand,/ɪkˈspænd/,Mở rộng,verb,The park was expanded. (Công viên được mở rộng.),Viết học thuật: Bản đồ
span,/spæn/,Bắc qua; trải dài,verb,The bridge spans the river. (Cây cầu bắc qua con sông.),Viết học thuật: Bản đồ
remove,/rɪˈmuːv/,Loại bỏ,verb,Old buildings were removed. (Các tòa nhà cũ bị dỡ bỏ.),Viết học thuật: Bản đồ
length,/leŋkθ/,Chiều dài,noun,The length of the new road... (Chiều dài con đường mới...),Viết học thuật: Bản đồ
width,/wɪtθ/,Chiều rộng,noun,The width of the river... (Chiều rộng con sông...),Viết học thuật: Bản đồ
depth,/depθ/,Chiều sâu,noun,The depth of the canal... (Chiều sâu con kênh...),Viết học thuật: Bản đồ
height,/haɪt/,Chiều cao,noun,The height of the building... (Chiều cao tòa nhà...),Viết học thuật: Bản đồ
long,/lɒŋ/,Dài,adjective,A long pathway. (Một con đường dài.),Viết học thuật: Bản đồ
wide,/waɪd/,Rộng,adjective,A wide area. (Một khu vực rộng.),Viết học thuật: Bản đồ
deep,/diːp/,Sâu,adjective,A deep valley. (Một thung lũng sâu.),Viết học thuật: Bản đồ
high,/haɪ/,Cao,adjective,High mountains. (Những ngọn núi cao.),Viết học thuật: Bản đồ
city,/ˈsɪt.i/,Thành phố,noun,Urban areas often grow rapidly. (Các khu đô thị phát triển nhanh.),Viết học thuật: Bản đồ
town,/taʊn/,Thị trấn,noun,A small town surrounded by hills. (Một thị trấn nhỏ được bao quanh bởi đồi.),Viết học thuật: Bản đồ
downtown,/ˌdaʊnˈtaʊn/,Trung tâm thành phố,noun,The festival was held downtown. (Lễ hội được tổ chức ở trung tâm.),Viết học thuật: Bản đồ
suburbs,/ˈsʌb.ɜːbz/,Ngoại ô,noun,Many families live in the suburbs. (Nhiều gia đình sống ở ngoại ô.),Viết học thuật: Bản đồ
bay,/beɪ/,Vịnh,noun,The bay is famous for its clear water. (Vịnh nổi tiếng vì nước trong xanh.),Viết học thuật: Bản đồ
archipelago,/ˌɑː.kɪˈpel.ə.ɡəʊ/,Quần đảo,noun,The archipelago contains over 20 islands. (Quần đảo có hơn 20 hòn đảo.),Viết học thuật: Bản đồ
canyon,/ˈkæn.jən/,Hẻm núi,noun,The canyon attracts many hikers. (Hẻm núi thu hút nhiều người leo núi.),Viết học thuật: Bản đồ
valley,/ˈvæl.i/,Thung lũng,noun,The valley is full of farms. (Thung lũng có nhiều trang trại.),Viết học thuật: Bản đồ
summit,/ˈsʌm.ɪt/,Đỉnh núi,noun,They reached the summit at sunrise. (Họ lên tới đỉnh núi lúc bình minh.),Viết học thuật: Bản đồ
road,/rəʊd/,Con đường,noun,The roads are well-maintained. (Các con đường được bảo trì tốt.),Viết học thuật: Bản đồ
bridge,/brɪdʒ/,Cây cầu,noun,The bridge connects two districts. (Cây cầu nối hai quận.),Viết học thuật: Bản đồ
tunnel,/ˈtʌn.əl/,Đường hầm,noun,The tunnel goes under the mountain. (Đường hầm chạy dưới núi.),Viết học thuật: Bản đồ
railway,/ˈreɪl.weɪ/,Đường sắt,noun,The railway links major cities. (Đường sắt kết nối các thành phố lớn.),Viết học thuật: Bản đồ
furthermore,/ˌfɜːðəˈmɔːr/,Hơn nữa,conjunction,"Furthermore, the plan was approved. (Hơn nữa, kế hoạch đã được thông qua.)",Viết học thuật: Từ nối
